States/UTs,Crime Head,Year,Persons arrested during the year_Male,Persons arrested during the year_Female,Persons arrested during the year_Total,Total number of persons under Trial_Male,Total number of persons under Trial_Female,Total number of persons under Trial_Total,Persons whose cases trials were completed during the year_Male,Persons whose cases trials were completed during the year_Female,Persons whose cases trials were completed during the year_Total,Persons convicted_Male,Persons convicted_Female,Persons convicted_Total,Persons acquitted_Male,Persons acquitted_Female,Persons acquitted_Total
Andhra Pradesh,1 - Murder (Section 302 and 303 IPC),2014,68,5,73,171,2,173,32,1,33,3,0,3,29,1,30
Arunachal Pradesh,1 - Murder (Section 302 and 303 IPC),2014,3,0,3,3,0,3,0,0,0,0,0,0,0,0,0
Assam,1 - Murder (Section 302 and 303 IPC),2014,25,0,25,21,0,21,6,0,6,1,0,1,5,0,5
Bihar,1 - Murder (Section 302 and 303 IPC),2014,100,0,100,870,0,870,78,0,78,18,0,18,60,0,60
Chhattisgarh,1 - Murder (Section 302 and 303 IPC),2014,73,5,78,197,5,202,31,0,31,15,0,15,16,0,16
Goa,1 - Murder (Section 302 and 303 IPC),2014,5,0,5,21,3,24,5,0,5,5,0,5,0,0,0
Gujarat,1 - Murder (Section 302 and 303 IPC),2014,50,18,68,311,22,333,11,0,11,3,0,3,8,0,8
Haryana,1 - Murder (Section 302 and 303 IPC),2014,68,3,71,199,3,202,77,0,77,15,0,15,62,0,62
Himachal Pradesh,1 - Murder (Section 302 and 303 IPC),2014,9,1,10,26,1,27,3,0,3,1,0,1,2,0,2
Jammu & Kashmir,1 - Murder (Section 302 and 303 IPC),2014,3,0,3,25,1,26,1,0,1,1,0,1,0,0,0
Jharkhand,1 - Murder (Section 302 and 303 IPC),2014,5,0,5,13,0,13,0,0,0,0,0,0,0,0,0
Karnataka,1 - Murder (Section 302 and 303 IPC),2014,92,10,102,238,12,250,26,1,27,3,0,3,21,1,22
Kerala,1 - Murder (Section 302 and 303 IPC),2014,32,15,47,233,22,255,19,4,23,4,0,4,15,3,18
Madhya Pradesh,1 - Murder (Section 302 and 303 IPC),2014,162,11,173,864,17,881,200,4,204,99,0,99,101,4,105
Maharashtra,1 - Murder (Section 302 and 303 IPC),2014,233,30,263,1842,83,1925,81,4,85,9,0,9,72,4,76
Manipur,1 - Murder (Section 302 and 303 IPC),2014,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,1 - Murder (Section 302 and 303 IPC),2014,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0
Mizoram,1 - Murder (Section 302 and 303 IPC),2014,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
Nagaland,1 - Murder (Section 302 and 303 IPC),2014,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
Odisha,1 - Murder (Section 302 and 303 IPC),2014,24,2,26,141,5,146,6,0,6,0,0,0,6,0,6
Punjab,1 - Murder (Section 302 and 303 IPC),2014,57,4,61,88,4,92,29,0,29,19,0,19,10,0,10
Rajasthan,1 - Murder (Section 302 and 303 IPC),2014,75,5,80,356,12,368,57,3,60,30,1,31,27,2,29
Sikkim,1 - Murder (Section 302 and 303 IPC),2014,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Tamil Nadu,1 - Murder (Section 302 and 303 IPC),2014,117,12,129,389,13,402,44,1,45,12,0,12,32,1,33
Telangana,1 - Murder (Section 302 and 303 IPC),2014,112,7,119,166,6,172,34,0,34,2,0,2,32,0,32
Tripura,1 - Murder (Section 302 and 303 IPC),2014,15,3,18,70,4,74,17,0,17,7,0,7,10,0,10
Uttar Pradesh,1 - Murder (Section 302 and 303 IPC),2014,1087,17,1104,3769,48,3817,570,11,581,335,7,342,233,4,237
Uttarakhand,1 - Murder (Section 302 and 303 IPC),2014,12,0,12,26,0,26,4,0,4,3,0,3,1,0,1
West Bengal,1 - Murder (Section 302 and 303 IPC),2014,125,3,128,166,0,166,14,0,14,3,0,3,11,0,11
A & N Islands,1 - Murder (Section 302 and 303 IPC),2014,0,1,1,14,1,15,3,0,3,2,0,2,1,0,1
Chandigarh,1 - Murder (Section 302 and 303 IPC),2014,2,1,3,9,1,10,7,1,8,7,1,8,0,0,0
D&N Haveli,1 - Murder (Section 302 and 303 IPC),2014,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Daman & Diu,1 - Murder (Section 302 and 303 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi UT,1 - Murder (Section 302 and 303 IPC),2014,46,0,46,362,2,364,25,0,25,18,0,18,7,0,7
Lakshadweep,1 - Murder (Section 302 and 303 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Puducherry,1 - Murder (Section 302 and 303 IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total (States),1 - Murder (Section 302 and 303 IPC),2014,2556,152,2708,10213,264,10477,1345,29,1374,588,8,596,753,20,773
Total (UTs),1 - Murder (Section 302 and 303 IPC),2014,49,2,51,385,4,389,35,1,36,27,1,28,8,0,8
Total (All India),1 - Murder (Section 302 and 303 IPC),2014,2605,154,2759,10598,268,10866,1380,30,1410,615,9,624,761,20,781
Andhra Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,34,0,34,37,0,37,19,0,19,0,0,0,19,0,19
Arunachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,2,0,2,4,0,4,0,0,0,0,0,0,0,0,0
Assam,10 - Procuration of minor girls (Section 366-A IPC),2014,303,0,303,75,0,75,11,0,11,5,0,5,6,0,6
Bihar,10 - Procuration of minor girls (Section 366-A IPC),2014,238,0,238,601,0,601,18,0,18,8,0,8,10,0,10
Chhattisgarh,10 - Procuration of minor girls (Section 366-A IPC),2014,1,2,3,1,2,3,0,0,0,0,0,0,0,0,0
Goa,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,11,3,14,0,0,0,0,0,0,0,0,0
Gujarat,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
Haryana,10 - Procuration of minor girls (Section 366-A IPC),2014,272,0,272,255,0,255,62,0,62,5,0,5,57,0,57
Himachal Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,2,0,2,6,1,7,0,0,0,0,0,0,0,0,0
Jammu & Kashmir,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1
Jharkhand,10 - Procuration of minor girls (Section 366-A IPC),2014,17,0,17,18,0,18,4,0,4,2,0,2,2,0,2
Karnataka,10 - Procuration of minor girls (Section 366-A IPC),2014,55,1,56,109,2,111,15,0,15,1,0,1,14,0,14
Kerala,10 - Procuration of minor girls (Section 366-A IPC),2014,4,0,4,124,0,124,7,0,7,0,0,0,7,0,7
Madhya Pradesh,10 - Procuration of minor girls (Section 366-A IPC),2014,13,0,13,43,0,43,5,0,5,2,0,2,3,0,3
Maharashtra,10 - Procuration of minor girls (Section 366-A IPC),2014,7,0,7,300,13,313,1,0,1,0,0,0,1,0,1
Manipur,10 - Procuration of minor girls (Section 366-A IPC),2014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meghalaya,10 - Procuration of minor girls (Section 366-A IPC),2014,12,0,12,10,0,10,0,0,0,0,0,0,0,0,0
